Verein	ZVR-Zahl	Bezirk	Foerderung_ref	Typ	Jahr	Betrag_EUR	Quelle	Anmerkungen	Programm	Kurzname	Verein_key
IMPROPER WALLS – Kulturverein zur Förderung von Kunst und soziokulturellen Initiativen	97711962	15	MA7	Beschluss	2022	3000.0	Kunst- Kultur- und Wissenschaftsbericht der Stadt Wien 2022	ausbezahlt: IMPROPER SESSIONS. Einzelförderung Projekte	IMPROPER SESSIONS		improper walls – kulturverein zur förderung von kunst und soziokulturellen initiativen
Vincent Pongracz	[Einzelperson]	[nicht dokumentiert]	MA7	Beschluss	2022	8000.0	Kunst-, Kultur-, und Wissenschaftsbericht der Stadt Wien 2024	Projekte: Synthetic Wednesday	Synesthetic Wednesday		vincent pongracz
Vincent Pongracz	[Einzelperson]	[nicht dokumentiert]	MA7	Beschluss	2023	4000.0	Kunst-, Kultur-, und Wissenschaftsbericht der Stadt Wien 2024	Projekte: Synthetic Wednesday	Synesthetic Wednesday		vincent pongracz
Vincent Pongracz	[Einzelperson]	[nicht dokumentiert]	MA7	Beschluss	2024	5000.0	Kunst-, Kultur-, und Wissenschaftsbericht der Stadt Wien 2024	Projekte: Synthetic Wednesday	Synesthetic Wednesday		vincent pongracz
Vincent Pongracz	[Einzelperson]	[nicht dokumentiert]	MA7	Beschluss	2025	5000.0	Kunst-, Kultur-, und Wissenschaftsbericht der Stadt Wien 2024	Einzelnförderung Projekte: Synthetic Wednesday	Synesthetic Wednesday		vincent pongracz
Vincent Pongracz	[Einzelperson]	[nicht dokumentiert]	MA7	Beschluss	2026	3000.0	Kunst-, Kultur-, und Wissenschaftsbericht der Stadt Wien 2024	8. Bezirk:Synthetic Wednesday	Synesthetic Wednesday		vincent pongracz
Kunst- und Kulturverein Akusmonautikum	1533182155	23	MA7	Beschluss	2024	2000.0	Kunst-, Kultur-, und Wissenschaftsbericht der Stadt Wien 2024	Projekte: KEINPONNY	KEINPONNY		kunst- und kulturverein akusmonautikum
STRUMA+IODINE - Verein zur Erweiterung musikalischer Erfahrungsräume	1954454117	9	BMKöS	Beschluss	2022	3300.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Mehrjahresförderung 2024-2025		Struma+Iodine	struma+iodine - verein zur erweiterung musikalischer erfahrungsräume
echoraum Vereinigung zur Förderung der Kulturkommunikation	884318065	15	BMKöS	Beschluss	2022	10400.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Der blöde dritte Mittwoch	Der Blöde Dritte Mittwoch	echoraum	echoraum vereinigung zur förderung der kulturkommunikation
Studio Dan - Verein für Neue Musik	408034688	20	BMKöS	Beschluss	2022	40000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: EARDRUMS	EARDRUMS	Studio Dan	studio dan - verein für neue musik
The Acousmatic Project - Verein zur Förderung Akusmatischer Musik	874404447	2	BMKöS	Beschluss	2022	13400.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: This is our Dancefloor	This is our Dancefloor		the acousmatic project - verein zur förderung akusmatischer musik
small forms - Verein zur Förderung und Verbreitung von zeitgenössischen Musikformen	503262449	16	BMKöS	Beschluss	2022	5400.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Tätigkeiten 2024		Smallforms	small forms - verein zur förderung und verbreitung von zeitgenössischen musikformen
Kulturverein Free Music Forum mit dem Zusatz Forum für free Jazz & freie Improvisation	1121875739	5	BMKöS	Beschluss	2022	15000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Akusmonautik	Akusmonautik	Free Music Forum	kulturverein free music forum mit dem zusatz forum für free jazz & freie improvisation
SUENA - Verein zur Förderung und Verbreitung neuer Musik	1920809871	20	BMKöS	Beschluss	2022	4900.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt:Jahresprogramme		SUENA	suena - verein zur förderung und verbreitung neuer musik
Wien Modern, Verein für neue Musik	678661440	3	BMKöS	Beschluss	2022	200000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Jahresprogramme		Wien Modern	wien modern, verein für neue musik
Verein für Kunstvermischung	448124582	17	BMKöS	Beschluss	2022	12000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Der Blöde Dritte Mittwoch	Der Blöde Dritte Mittwoch		verein für kunstvermischung
FAM Kulturverein	1490968765	Klagenfurt	BMKöS	Beschluss	2022	8000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Projekt: nawa music & film festival	NAWA Festival		fam kulturverein
Klangmanifeste - Verein für Klang-/Kunst-/Formen	771245267	5	BMKöS	Beschluss	2022	5500.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Projekt			klangmanifeste - verein für klang-/kunst-/formen
Jazz & Musicclub Porgy & Bess	79072322	4	BMKöS	Beschluss	2022	163200.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt:Jahresprogramme		Porgy & Bess	jazz & musicclub porgy & bess
WUK - Verein zur Schaffung offener Kultur- und Werkstättenhäuser,\nKurzbezeichnung WUK Werkstätten- und Kulturhaus	535133641	9	BMKöS	Beschluss	2022	410000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt		WUK	wuk - verein zur schaffung offener kultur- und werkstättenhäuser,\nkurzbezeichnung wuk werkstätten- und kulturhaus
Kulturverein Free Music Forum mit dem Zusatz Forum für free Jazz & freie Improvisation	1121875739	5	BMKöS	Beschluss	2023	16500.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: Reverberate	Reverberate	Free Music Forum	kulturverein free music forum mit dem zusatz forum für free jazz & freie improvisation
Studio Dan - Verein für Neue Musik	408034688	20	BMKöS	Beschluss	2023	40000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: DE/SEMBLE	DE/SEMBLE Festival	Studio Dan	studio dan - verein für neue musik
Wien Modern, Verein für neue Musik	678661440	3	BMKöS	Beschluss	2023	275000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt		Wien Modern	wien modern, verein für neue musik
Klangmanifeste - Verein für Klang-/Kunst-/Formen	771245267	5	BMKöS	Beschluss	2023	6000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: Para Klangmanifeste 2024	Klangmanifeste		klangmanifeste - verein für klang-/kunst-/formen
MOOZAK - VEREIN FÜR EXPERIMENTELLE MUSIK	817982407	19	BMKöS	Beschluss	2023	5000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: sama recordings s c h w e b e n	sama recordings	Moozak	moozak - verein für experimentelle musik
small forms - Verein zur Förderung und Verbreitung von zeitgenössischen Musikformen	503262449	16	BMKöS	Beschluss	2023	8000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: On the Couch Studiokonzerte		Smallforms	small forms - verein zur förderung und verbreitung von zeitgenössischen musikformen
STRUMA+IODINE - Verein zur Erweiterung musikalischer Erfahrungsräume	1954454117	9	BMKöS	Beschluss	2023	6000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: Jahresbetrieb		Struma+Iodine	struma+iodine - verein zur erweiterung musikalischer erfahrungsräume
Floating Sound Gallery Vienna, Verein zur Förderung von Kunst und Kultur	1534373870	18	BMKöS	Beschluss	2023	4000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt		Floating Sound Gallery Vienna	floating sound gallery vienna, verein zur förderung von kunst und kultur
The Acousmatic Project - Verein zur Förderung Akusmatischer Musik	874404447	2	BMKöS	Beschluss	2023	15000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: Augend&Addend Equation Echo			the acousmatic project - verein zur förderung akusmatischer musik
UNSAFE SOUNDS - Verein zur Verteidigung künstlerischer Grauzonen	1670187874	18	BMKöS	Beschluss	2023	7000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: Jahresprogramm		Unsafe+Sounds	unsafe sounds - verein zur verteidigung künstlerischer grauzonen
echoraum Vereinigung zur Förderung der Kulturkommunikation	884318065	15	BMKöS	Beschluss	2023	12000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: Neue Musik in St. Ruprecht	Neue Musik in St. Ruprecht	echoraum	echoraum vereinigung zur förderung der kulturkommunikation
FREIFALL - Verein zur Förderung interdisziplinärer Performancekunst	192897149	6	BMKöS	Beschluss	2023	11600.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: Contemporary Circus Visions #A			freifall - verein zur förderung interdisziplinärer performancekunst
WUK - Verein zur Schaffung offener Kultur- und Werkstättenhäuser,\nKurzbezeichnung WUK Werkstätten- und Kulturhaus	535133641	9	BMKöS	Beschluss	2023	450000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt		WUK	wuk - verein zur schaffung offener kultur- und werkstättenhäuser,\nkurzbezeichnung wuk werkstätten- und kulturhaus
SUENA - Verein zur Förderung und Verbreitung neuer Musik	1920809871	6	BMKöS	Beschluss	2023	1500.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: Kompositionsförderung		SUENA	suena - verein zur förderung und verbreitung neuer musik
Verein für Kunstvermischung	448124582	17	BMKöS	Beschluss	2023	13000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: Der Blöde Dritte Mittwoch	Der Blöde Dritte Mittwoch		verein für kunstvermischung
Jazz & Musicclub Porgy & Bess	79072322	4	BMKöS	Beschluss	2023	175000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt:Jahresprogramme		Porgy & Bess	jazz & musicclub porgy & bess
"Vienna.ACTS"", Verein zur Förderung von Kunst"	130944845	7	BMKöS	Beschluss	2023	28000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt			"""vienna.acts"", verein zur förderung von kunst"
echoraum Vereinigung zur Förderung der Kulturkommunikation	884318065	15	MA7	Beschluss	2026	110000.0	Gemeinderatsbeschluss Wien (Sitzung 18.12.2025)	Jahresprogramm 2026		echoraum	echoraum vereinigung zur förderung der kulturkommunikation
Studio Dan - Verein für Neue Musik	408034688	20	MA7	Beschluss	2026	100000.0	Gemeinderatsbeschluss Wien (Sitzung 9.1.2026) AZ 1627283-2025-GKU	Jahrestätigkeit 2026		Studio Dan	studio dan - verein für neue musik
Jazz & Musicclub Porgy & Bess	79072322	4	MA7	Beschluss	2026	170000.0	Gemeinderatsbeschluss Wien (Sitzung 2.12.2025)	Jahresbetrieb 2026		Porgy & Bess	jazz & musicclub porgy & bess
echoraum Vereinigung zur Förderung der Kulturkommunikation	884318065	15	BMKöS	Beschluss	2024	24000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Jahresprogramme		echoraum	echoraum vereinigung zur förderung der kulturkommunikation
id/l Agentur für Kunst und Kultur	214732532	18	BMKöS	Beschluss	2024	23000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Jahresprogramme		id/l	id/l agentur für kunst und kultur
Klang.Kunst.Etage - Verein für experimentelle Musik und Kunstprojekte	539978143	2	BMKöS	Beschluss	2024	11000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Jahresprogramme			klang.kunst.etage - verein für experimentelle musik und kunstprojekte
Kulturverein Free Music Forum mit dem Zusatz Forum für free Jazz & freie Improvisation	1121875739	5	BMKöS	Beschluss	2024	17500.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Jahresprogramme		Free Music Forum	kulturverein free music forum mit dem zusatz forum für free jazz & freie improvisation
JazzWerkstatt Wien	59191016	20	BMKöS	Beschluss	2024	38500.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Jahresprogramme		JazzWerkstatt Wien	jazzwerkstatt wien
moment collective - Verein für experimentelle Musik, audio-visuelle und\nperformative Kuns	839307922	14	BMKöS	Beschluss	2024	15000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Jahresprogramme			moment collective - verein für experimentelle musik, audio-visuelle und\nperformative kuns
PARKEN, Verein zur Förderung experimenteller Musik im öffentlichem Raum	[nicht dokumentiert]	16	BMKöS	Beschluss	2024	10000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Jahresprogramme		PARKEN	parken, verein zur förderung experimenteller musik im öffentlichem raum
Jazz & Musicclub Porgy & Bess	79072322	4	BMKöS	Beschluss	2024	175000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Jahresprogramme		Porgy & Bess	jazz & musicclub porgy & bess
punctum collective, Verein zur Förderung zeitgenössischer Musik und\ntransmedialer Kunstformate	1310873198	5	BMKöS	Beschluss	2024	7000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Jahresprogramme			punctum collective, verein zur förderung zeitgenössischer musik und\ntransmedialer kunstformate
Rantasa + Rantasa GmbH	GmbH	8	BMKöS	Beschluss	2024	25000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Jahresprogramme		rhiz	rantasa + rantasa gmbh
small forms - Verein zur Förderung und Verbreitung von zeitgenössischen Musikformen	503262449	16	BMKöS	Beschluss	2024	10000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Jahresprogramme		Smallforms	small forms - verein zur förderung und verbreitung von zeitgenössischen musikformen
STRUMA+IODINE - Verein zur Erweiterung musikalischer Erfahrungsräume	1954454117	9	BMKöS	Beschluss	2024	7000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Jahresprogramme		Struma+Iodine	struma+iodine - verein zur erweiterung musikalischer erfahrungsräume
Studio Dan - Verein für Neue Musik	408034688	20	BMKöS	Beschluss	2024	50000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Jahresprogramme		Studio Dan	studio dan - verein für neue musik
The Acousmatic Project - Verein zur Förderung Akusmatischer Musik	874404447	2	BMKöS	Beschluss	2024	16000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Jahresprogramme			the acousmatic project - verein zur förderung akusmatischer musik
Verein für elektroakustische Musik Kurztitel VELAK	229137709	5	BMKöS	Beschluss	2024	13500.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Jahresprogramme			verein für elektroakustische musik kurztitel velak
Verein für experimentelle improvisierte Musik (VEIM)	[nicht dokumentiert]	4	BMKöS	Beschluss	2024	5000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Jahresprogramme		Porgy & Bess	verein für experimentelle improvisierte musik (veim)
"""Ventil"" - Verein zur Freisetzung klanglicher Innovation und Dynamik Kurztitel:\nVenti"	462456728	18	BMKöS	Beschluss	2024	4000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Jahresprogramme		Ventil Records	"


""Ventil"" - Verein zur Freisetzung klanglicher Innovation und Dynamik Kurztitel:\nVenti"
czirp czirp - experimental and sonic arts. Verein zur Förderung Experimenteller und\nKlang-Kunst	460617721	8	BMKöS	Beschluss	2024	15000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Projekte			czirp czirp - experimental and sonic arts. verein zur förderung experimenteller und\nklang-kunst
Floating Sound Gallery Vienna, Verein zur Förderung von Kunst und Kultur	1534373870	20	BMKöS	Beschluss	2024	5000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Projekte		Floating Sound Gallery Vienna	floating sound gallery vienna, verein zur förderung von kunst und kultur
minciospace - Verein zur Förderung von künstlerischer Entwicklung unter besonderer Berücksichtigung gesellschaftsrelevanter Themen	[nicht dokumentiert]	15	BMKöS	Beschluss	2024	8000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Projekte		Minciospace	minciospace - verein zur förderung von künstlerischer entwicklung unter besonderer berücksichtigung gesellschaftsrelevanter themen
moment collective - Verein für experimentelle Musik, audio-visuelle und\nperformative Kuns	839307922	14	BMKöS	Beschluss	2024	16500.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Kompositionsförderung 12.500 + Tourneekostenzuschuss 4.000			moment collective - verein für experimentelle musik, audio-visuelle und\nperformative kuns
On the Couch - zur Förderung von Kunst und Kultur in der Gesellschaft	1742094788	3	BMKöS	Beschluss	2024	5000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt:Projekte		On the Couch	on the couch - zur förderung von kunst und kultur in der gesellschaft
RRRIOT - Verein zur Förderung und Vermittlung feministischen Kulturschaffens	1768215396	10	BMKöS	Beschluss	2024	7500.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Projekte			rrriot - verein zur förderung und vermittlung feministischen kulturschaffens
SISTERS - Verein für queer feministische Kunst und Kultur	914774238	15	BMKöS	Beschluss	2024	15000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Projekte			sisters - verein für queer feministische kunst und kultur
snim - spontanes Netzwerk für improvisierte Musik	461480763	15	BMKöS	Beschluss	2024	4000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Projekte			snim - spontanes netzwerk für improvisierte musik
sp ce. Verein zur Förderung von Kunst und Transdisziplinarität	752869720	19	BMKöS	Beschluss	2024	8000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Projekte			sp ce. verein zur förderung von kunst und transdisziplinarität
Studio Dan - Verein für Neue Musik	408034688	20	BMKöS	Beschluss	2024	1000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Projektkostenzuschuss adicional		Studio Dan	studio dan - verein für neue musik
SUENA - Verein zur Förderung und Verbreitung neuer Musik	1920809871	6	BMKöS	Beschluss	2024	12500.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Projektkostenzuschuss 6.500 + Kompositionsförderung 6.000		SUENA	suena - verein zur förderung und verbreitung neuer musik
The Acousmatic Project - Verein zur Förderung Akusmatischer Musik	874404447	2	BMKöS	Beschluss	2024	6100.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Projekt – Tourneekostenzuschuss			the acousmatic project - verein zur förderung akusmatischer musik
UNSAFE SOUNDS - Verein zur Verteidigung künstlerischer Grauzonen	1670187874	18	BMKöS	Beschluss	2024	12000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Projekte		Unsafe+Sounds	unsafe sounds - verein zur verteidigung künstlerischer grauzonen
Verein für elektroakustische Musik Kurztitel VELAK	229137709	2	BMKöS	Beschluss	2024	1500.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Projekte – Tourneekostenzuschuss			verein für elektroakustische musik kurztitel velak
"Vienna.ACTS"", Verein zur Förderung von Kunst"	130944845	2	BMKöS	Beschluss	2024	5000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Projekte			"""vienna.acts"", verein zur förderung von kunst"
XOK - Interessensgemeinschaft der experimentellen Musik- und Klangkunstszene\nWiens	1792507501	2	BMKöS	Beschluss	2024	12000.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Projekte		XOK	xok - interessensgemeinschaft der experimentellen musik- und klangkunstszene\nwiens
Studio Dan - Verein für Neue Musik	408034688	20	BMWKmS	Beschluss	2026	60000.0	BMWKmS Schreiben GZ 2026-0.020.894 (13.02.2026)	Zweijahrestätigkeit 2026-2027. Gesamtförderung EUR 120.000		Studio Dan	studio dan - verein für neue musik
Studio Dan - Verein für Neue Musik	408034688	20	BMWKmS	Beschluss	2027	60000.0	BMWKmS Schreiben GZ 2026-0.020.894 (13.02.2026)	Zweijahrestätigkeit 2026-2027. Gesamtförderung EUR 120.000		Studio Dan	studio dan - verein für neue musik
PHACE - Ensemble für neue Musik	366181964	15	BMWKmS	Beschluss	2026	100000.0	BMWKmS Schreiben GZ 2025-0.981.094	Jahrestätigkeit 2026. Musikbeirat Empfehlung Sitzung 26.11.2025			phace - ensemble für neue musik
PHACE - Ensemble für neue Musik	366181964	15	BMKöS	Beschluss	2022	50000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Jahresprogramme			phace - ensemble für neue musik
PHACE - Ensemble für neue Musik	366181964	15	BMKöS	Beschluss	2022	10000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Projekte			phace - ensemble für neue musik
rhizome audioart association - Verein zur Verbreitung und Förderung\nzeitgenössischer Ton-, Klang-, Musik-, Geräusch- und Audiokunst sowie von\naudiovisuellen, medienkünstlerischen, bildenden, literarischen und anderen\nkünstlerischen Ausdrucksformen, die sich mit Klang und Musik auseinandersetzen	317418575	13	BMKöS	Beschluss	2022	15000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Jahresprogramme			rhizome audioart association - verein zur verbreitung und förderung\nzeitgenössischer ton-, klang-, musik-, geräusch- und audiokunst sowie von\naudiovisuellen, medienkünstlerischen, bildenden, literarischen und anderen\nkünstlerischen ausdrucksformen, die sich mit klang und musik auseinandersetzen
moment collective - Verein für experimentelle Musik, audio-visuelle und\nperformative Kuns	839307922	14	BMKöS	Beschluss	2022	13630.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: House. Music. Europe	House. Music. Europe		moment collective - verein für experimentelle musik, audio-visuelle und\nperformative kuns
moment collective - Verein für experimentelle Musik, audio-visuelle und\nperformative Kuns	839307922	14	BMKöS	Beschluss	2022	10000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Jahresprogramme			moment collective - verein für experimentelle musik, audio-visuelle und\nperformative kuns
moment collective - Verein für experimentelle Musik, audio-visuelle und\nperformative Kuns	839307922	14	BMKöS	Beschluss	2022	6000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Projekte			moment collective - verein für experimentelle musik, audio-visuelle und\nperformative kuns
Platypus - Verein für Neue Musik	881787755	5	BMKöS	Beschluss	2022	23000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Jahresprogramme			platypus - verein für neue musik
Verein zur Erweiterung des kulturellen und künstlerischen Spektrums (VEKKS)	743276021	15	BMKöS	Beschluss	2022	7000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Jahresprogramme		Vekks	verein zur erweiterung des kulturellen und künstlerischen spektrums (vekks)
Verein für elektroakustische Musik Kurztitel VELAK	229137709	5	BMKöS	Beschluss	2022	11800.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Jahresprogramme			verein für elektroakustische musik kurztitel velak
Reconsil - Verein zur Förderung zeitgenössischer Musik	90914757	5	BMKöS	Beschluss	2022	6000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Jahresprogramme			reconsil - verein zur förderung zeitgenössischer musik
andother stage - Verein für künstlerische Forschung und transdiszplinäre Kunst	1140457008	5	BMKöS	Beschluss	2022	6000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Projekte			andother stage - verein für künstlerische forschung und transdiszplinäre kunst
Between Feathers	1931401223	14	BMKöS	Beschluss	2022	6000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Jahresprogramme			between feathers
Between Feathers	1931401223	14	BMKöS	Beschluss	2022	7500.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Projekte			between feathers
ensemble N - Verein und Ensemble für zeitgenössische Musik	[nicht dokumentiert]	[nicht dokumentiert]	BMKöS	Beschluss	2022	6000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Jahresprogramme			ensemble n - verein und ensemble für zeitgenössische musik
ensemble N - Verein und Ensemble für zeitgenössische Musik	[nicht dokumentiert]	[nicht dokumentiert]	BMKöS	Beschluss	2022	2500.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Projekte			ensemble n - verein und ensemble für zeitgenössische musik
RRRIOT - Verein zur Förderung und Vermittlung feministischen Kulturschaffens	176821539	10	BMKöS	Beschluss	2022	7000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Jahresprogramme			rrriot - verein zur förderung und vermittlung feministischen kulturschaffens
WUK - Verein zur Schaffung offener Kultur- und Werkstättenhäuser,\nKurzbezeichnung WUK Werkstätten- und Kulturhaus	535133641	9	BMKöS	Beschluss	2022	2000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: EUROPAVOX	EUROPAVOX	WUK	wuk - verein zur schaffung offener kultur- und werkstättenhäuser,\nkurzbezeichnung wuk werkstätten- und kulturhaus
sp ce. Verein zur Förderung von Kunst und Transdisziplinarität	752869720	19	BMKöS	Beschluss	2022	7000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Festspiele			sp ce. verein zur förderung von kunst und transdisziplinarität
SISTERS - Verein für queer feministische Kunst und Kultur	914774238	15	BMKöS	Beschluss	2022	8000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Hyperreality	HYPERREALITY		sisters - verein für queer feministische kunst und kultur
id/l Agentur für Kunst und Kultur	214732532	18	BMKöS	Beschluss	2022	19000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Sonic Territories	Sonic Territories Festival	id/l	id/l agentur für kunst und kultur
Klang.Kunst.Etage - Verein für experimentelle Musik und Kunstprojekte	539978143	2	BMKöS	Beschluss	2022	4000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Jahresprogramme			klang.kunst.etage - verein für experimentelle musik und kunstprojekte
moment collective - Verein für experimentelle Musik, audio-visuelle und\nperformative Kuns	839307922	14	BMKöS	Beschluss	2023	13630.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: House. Music. Europe	House. Music. Europe		moment collective - verein für experimentelle musik, audio-visuelle und\nperformative kuns
moment collective - Verein für experimentelle Musik, audio-visuelle und\nperformative Kuns	839307922	14	BMKöS	Beschluss	2023	12000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: Jahresprogramme			moment collective - verein für experimentelle musik, audio-visuelle und\nperformative kuns
Between Feathers	1931401223	14	BMKöS	Beschluss	2023	12000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: Jahresprogramme			between feathers
Alexander Eberhard	[Einzelperson]	3	BMKöS	Beschluss	2023	5000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: Jahresprogramme. Einzelperson			alexander eberhard
PHACE - Ensemble für neue Musik	366181964	15	BMKöS	Beschluss	2023	65000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: Jahresprogramme			phace - ensemble für neue musik
Platypus - Verein für Neue Musik	881787755	5	BMKöS	Beschluss	2023	25000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: Jahresprogramme			platypus - verein für neue musik
Verein für elektroakustische Musik Kurztitel VELAK	229137709	5	BMKöS	Beschluss	2023	13000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: Jahresprogramme			verein für elektroakustische musik kurztitel velak
Verein für elektroakustische Musik Kurztitel VELAK	229137709	5	BMKöS	Beschluss	2023	9000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: Projekte			verein für elektroakustische musik kurztitel velak
PARKEN, Verein zur Förderung experimenteller Musik im öffentlichem Raum	1294222714	16	BMKöS	Beschluss	2023	10000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: Jahresprogramme		PARKEN	parken, verein zur förderung experimenteller musik im öffentlichem raum
Verein zur Erweiterung des kulturellen und künstlerischen Spektrums (VEKKS)	743276021	15	BMKöS	Beschluss	2023	6000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: Jahresprogramme		Vekks	verein zur erweiterung des kulturellen und künstlerischen spektrums (vekks)
"


""Ventil"" - Verein zur Freisetzung klanglicher Innovation und Dynamik Kurztitel:\nVenti"	462456728	18	BMKöS	Beschluss	2023	6000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: Jahresprogramme		Ventil Records	"


""Ventil"" - Verein zur Freisetzung klanglicher Innovation und Dynamik Kurztitel:\nVenti"
Verein zur Förderung der Neuen Musik im Kirchenraum	812262237	15	BMKöS	Beschluss	2023	10000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: Projekte. Neue Musik in St. Ruprecht			verein zur förderung der neuen musik im kirchenraum
